SKU ID,2023 PTUs,PTU/HR,PTU/shift,# of people on Line,Base  Direct Labor Rate ($/hr),QA Tech,Line Lead,Production FLO,Warehouse FLO,"Supervisors, Trainers, Donor Coordinator, Donor Receivers, FG Leads, Baler MO",Cleaning,Total Flex Cost,Total Unit Cost (Direct + Flex)
429996460,0,235,1880,10,16.85,0.116550208,0.202292996,0.081766284,0.087572042,0.161192963,0.113005961,0.762380454,1.82
429996589,0,225,1800,11,16.85,0.121730217,0.211283796,0.085400341,0.091464132,0.168357094,0.118028449,0.79626403,2.01
429996761,53054,126.25,1010,9,16.85,0.216944942,0.376545379,0.152198627,0.163005385,0.300042346,0.21034773,1.41908441,3.19
430045523,0,45.625,365,13,16.85,0.418823303,1.041947488,0.421152366,0.451055996,0.938215608,0,3.271194761,10.33
430097252,0,39.375,315,14,16.85,0.485303193,1.207335978,1.626673159,0.522652186,0.962040539,0,4.804005055,13.61
427159191,2551,6.25,50,12,16.85,4.382287828,7.606216662,10.2480409,3.292708769,6.060855395,4.249024151,35.83913371,83.4
428681907,0,275,2200,12,16.85,0.069486593,0.172868561,0.069873006,0.07483429,0.155658499,0,0.542720949,1.62
428681950,0,275,2200,12,16.85,0.069486593,0.172868561,0.069873006,0.07483429,0.155658499,0,0.542720949,1.62
429807260,0,135,1080,9,16.85,0.202883696,0.35213966,0.142333901,0.152440221,0.280595157,0.196714081,1.327106717,2.98
429808206,3600,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429994826,6225,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429812678,0,137.5,1100,9,16.85,0.199194901,0.345737121,0.139746012,0.14966858,0.275493427,0.193137461,1.302977504,2.92
429805196,1104,170,1360,10,16.85,0.161113523,0.279640318,0.113029863,0.121055469,0.222825566,0.156214123,1.053878863,2.51
429805454,4368,170,1360,10,16.85,0.161113523,0.279640318,0.113029863,0.121055469,0.222825566,0.156214123,1.053878863,2.51
429807948,6000,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429808034,0,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429808120,0,170,1360,10,16.85,0.161113523,0.279640318,0.113029863,0.121055469,0.222825566,0.156214123,1.053878863,2.51
429808292,0,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429891583,0,121.625,973,11,16.85,0.225194647,0.390864166,0.157986242,0.169203945,0.311451973,0.218346565,1.473047537,3.71
429605117,0,19,152,14,16.85,1.005727011,2.502044955,3.371066087,1.083127885,1.993702433,0,9.95566837,28.21
429929079,0,175,1400,11,16.85,0.15651028,0.271650595,0.109800438,0.117596742,0.216459121,0.151750863,1.023768038,2.58
429994396,0,175,1400,11,16.85,0.15651028,0.271650595,0.109800438,0.117596742,0.216459121,0.151750863,1.023768038,2.58
429996933,0,187.5,1500,11,16.85,0.146076261,0.253540555,0.102480409,0.109756959,0.202028513,0.141634138,0.955516836,2.41
429994912,55486,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
430002652,14422,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
430006479,3000,18.75,150,14,16.85,1.019136704,2.535405554,3.416013635,1.09756959,2.020285132,0,10.08841061,28.59
425963447,64008,237,1896,3,16.85,0.115566662,0.200585882,0.081076273,0.086833037,0.159832684,0.112052325,0.755946864,1.07
426140779,0,282.5,2260,6,16.85,0.096953271,0.16827913,0.068017971,0.072847539,0.134089721,0.094004959,0.63419259,1.16
426243463,0,275,2200,11,16.85,0.069486593,0.172868561,0.069873006,0.07483429,0.155658499,0,0.542720949,1.53
426300051,6790,3.5,28,19,16.85,5.459660916,13.58252975,18.30007304,5.879837088,10.82295606,0,54.04505686,188.53
426673635,157528,375,3000,10,16.85,0.050956835,0.126770278,0.051240205,0.054878479,0.114149566,0,0.397995363,1.06
427565068,118389,562.5,4500,17,16.85,0.033971223,0.084513518,0.034160136,0.036585653,0.07609971,0,0.265330242,1.01
428104933,0,187.5,1500,5,16.85,0.146076261,0.253540555,0.102480409,0.109756959,0.202028513,0.733604709,1.547487406,2.21
428121144,0,300,2400,6,16.85,0.091297663,0.158462847,0.064050256,0.068598099,0.126267821,0.458502943,0.967179629,1.46
428314214,0,92,736,7.5,16.85,0.207704491,0.516726675,0.208859529,0.223689454,0.435177944,0,1.592158095,3.61
428964202,0,20,160,14,16.85,0.95544066,2.376942707,3.202512783,1.02897149,1.894017311,0,9.457884951,26.8
429008578,145125,225,1800,6,16.85,0.121730217,0.211283796,0.085400341,0.091464132,0.168357094,0.118028449,0.79626403,1.46
429325961,1019676,318.375,2547,4,16.85,0.086028422,0.14931717,0.060353598,0.064638963,0.118980279,0.083412331,0.562730763,0.87
429329444,0,240,1920,3,16.85,0.114122079,0.198078559,0.08006282,0.085747624,0.157834776,0.110651671,0.746497528,1.06
429351073,0,150,1200,10,16.85,0.182595326,0.316925694,0.128100511,0.137196199,0.252535641,0.177042673,1.194396045,2.85
429368230,122499,562.5,4500,17,16.85,0.033971223,0.084513518,0.034160136,0.036585653,0.07609971,0,0.265330242,1.01
429440599,2296,6.5,52,13,16.85,4.213738296,7.313669868,9.853885485,3.166066124,5.827745572,4.085600145,34.46070549,84.01
